"","ABV","IBU"
"1712",0.07,100
"1721",0.055,40
"1723",0.058,15
"1724",0.061,31
"1725",0.057,25
"1726",0.068,28
"1727",0.065,70
"1728",0.05,14
"1729",0.057,42
"1730",0.055,42
"1731",0.06,60
"1732",0.058,35
"1733",0.052,21
"1734",0.043,45
"1735",0.072,75
"1736",0.048,25
"1742",0.05,55
"1743",0.055,60
"1744",0.05,100
"1768",0.076,78
"1769",0.07,80
"1771",0.071,36
"1774",0.056,40
"1777",0.045,28
"1778",0.056,35
"1779",0.073,55
"1780",0.048,42
"1781",0.073,55
"1782",0.056,35
"1783",0.05,15
"1784",0.068,66
"1785",0.052,40
"1786",0.048,22
"1787",0.069,20
"1788",0.095,25
"1789",0.091,99
"1791",0.05,15
"1794",0.055,20
"1795",0.05,15
"1796",0.07,85
"1797",0.069,20
"1798",0.055,45
"1800",0.05,20
"1801",0.055,45
"1802",0.07,85
"1803",0.05,15
"1804",0.055,45
"1805",0.055,20
"1806",0.058,20
"1807",0.068,65
"1808",0.089,88
"1811",0.055,30
"1812",0.071,95
"1818",0.05,11
"1822",0.05,45
"1824",0.045,30
"1825",0.05,30
"1826",0.041,16
"1827",0.045,17
"1829",0.074,60
"1832",0.07,105
"1833",0.07,55
"1834",0.077,40
"1835",0.053,20
"1836",0.077,40
"1837",0.06,53
"1838",0.07,68
"1841",0.069,65
"1846",0.072,65
"1849",0.056,37
"1850",0.048,26
"1851",0.05,28
"1852",0.072,65
"1853",0.056,37
"1858",0.1,52
"1859",0.042,16
"1861",0.032,7
"1862",0.065,62
"1863",0.047,50
"1864",0.099,111
"1865",0.07,70
"1866",0.067,74
"1867",0.054,42
"1868",0.052,34
"1869",0.063,57
"1870",0.064,62
"1871",0.099,85
"1872",0.059,47
"1873",0.052,11
"1874",0.049,35
"1875",0.091,103
"1876",0.063,69
"1877",0.06,48
"1878",0.054,42
"1879",0.052,34
"1880",0.063,57
"1881",0.064,62
"1884",0.068,65
"1885",0.058,15
"1889",0.042,18
"1892",0.057,58
"1893",0.068,65
"1894",0.058,39
"1895",0.071,92
"1899",0.06,70
"1900",0.055,16
"1901",0.056,25
"1903",0.049,18
"1904",0.055,16
"1905",0.084,90
"1906",0.058,25
"1907",0.07,113
"1908",0.053,21
"1909",0.056,11
"1910",0.049,44
"1911",0.051,40
"1912",0.07,88
"1913",0.058,35
"1914",0.062,33
"1916",0.06,55
"1917",0.054,36
"1918",0.05,22
"1919",0.05,18
"1920",0.052,32
"1921",0.068,60
"1924",0.063,100
"1925",0.063,100
"1932",0.099,100
"1934",0.052,32
"1935",0.046,12
"1937",0.084,90
"1938",0.063,100
"1939",0.07,18
"1940",0.055,40
"1942",0.05,22
"1944",0.048,32
"1945",0.055,65
"1946",0.075,72
"1947",0.077,65
"1948",0.053,45
"1949",0.058,60
"1950",0.05,20
"1951",0.08,80
"1952",0.058,40
"1953",0.05,20
"1954",0.058,60
"1955",0.065,45
"1957",0.069,23
"1958",0.085,110
"1959",0.092,100
"1960",0.085,110
"1961",0.072,40
"1962",0.05,20
"1963",0.099,100
"1965",0.069,23
"1966",0.083,50
"1967",0.065,45
"1968",0.05,20
"1969",0.047,35
"1983",0.05,22
"1984",0.05,22
"1987",0.042,20
"1988",0.065,52
"1989",0.048,12
"1990",0.065,52
"1991",0.065,65
"1992",0.049,17
"1993",0.057,25
"1994",0.065,65
"1995",0.047,9
"1996",0.047,9
"1997",0.054,33
"1998",0.047,9
"1999",0.052,9
"2000",0.063,64
"2001",0.047,9
"2002",0.047,9
"2003",0.047,9
"2005",0.057,15
"2006",0.052,7
"2007",0.05,7
"2008",0.05,7
"2010",0.049,13
"2011",0.057,15
"2012",0.054,32
"2013",0.05,7
"2014",0.054,33
"2015",0.047,14
"2016",0.047,9
"2017",0.051,31
"2022",0.051,25
"2023",0.05,30
"2024",0.072,70
"2026",0.041,8
"2027",0.041,8
"2028",0.032,13
"2029",0.053,49
"2030",0.053,40
"2031",0.047,55
"2032",0.083,100
"2033",0.052,29
"2035",0.054,23
"2036",0.058,20
"2037",0.083,23
"2038",0.099,36
"2039",0.09,30
"2040",0.053,23
"2041",0.064,75
"2042",0.063,75
"2043",0.064,75
"2044",0.064,75
"2046",0.09,30
"2047",0.065,55
"2048",0.075,77
"2049",0.056,50
"2050",0.099,75
"2051",0.063,23
"2054",0.071,27
"2055",0.054,23
"2056",0.099,60
"2058",0.09,24
"2059",0.055,23
"2060",0.052,24
"2061",0.052,24
"2063",0.091,91
"2064",0.09,30
"2065",0.075,77
"2066",0.055,23
"2067",0.099,60
"2068",0.054,23
"2069",0.053,20
"2070",0.056,50
"2075",0.099,85
"2076",0.073,69
"2077",0.075,90
"2078",0.04,37
"2079",0.055,34
"2080",0.051,45
"2081",0.051,45
"2082",0.097,120
"2083",0.051,20
"2084",0.067,33
"2085",0.062,99
"2086",0.073,50
"2087",0.05,10
"2088",0.056,35
"2089",0.05,38
"2090",0.059,18
"2092",0.055,35
"2096",0.08,95
"2098",0.05,44
"2099",0.05,44
"2100",0.049,28
"2101",0.05,19
"2102",0.05,19
"2103",0.049,28
"2104",0.085,34
"2105",0.048,20
"2106",0.062,35
"2107",0.056,20
"2108",0.05,20
"2109",0.068,110
"2110",0.044,12
"2111",0.072,93
"2112",0.05,20
"2113",0.05,20
"2116",0.05,20
"2117",0.05,16
"2118",0.072,93
"2119",0.044,22
"2120",0.05,20
"2121",0.063,60
"2125",0.07,80
"2126",0.065,35
"2129",0.08,22
"2136",0.047,42
"2137",0.055,35
"2138",0.063,23
"2139",0.056,12
"2140",0.071,69
"2145",0.08,120
"2146",0.08,120
"2147",0.046,20
"2148",0.07,75
"2149",0.048,16
"2150",0.059,15
"2154",0.052,16
"2155",0.057,46
"2156",0.063,50
"2157",0.052,35
"2160",0.069,34
"2161",0.099,101
"2162",0.046,45
"2170",0.048,18
"2174",0.051,11
"2175",0.04,18
"2176",0.062,40
"2177",0.062,82
"2178",0.053,22
"2179",0.06,50
"2180",0.055,64
"2181",0.055,31
"2182",0.054,37
"2183",0.053,27
"2188",0.058,20
"2189",0.052,12
"2190",0.12,90
"2192",0.085,115
"2193",0.058,36
"2194",0.051,22
"2195",0.052,50
"2196",0.045,35
"2198",0.07,60
"2199",0.07,35
"2200",0.05,21
"2201",0.045,18
"2202",0.055,37
"2203",0.045,28
"2204",0.073,87
"2205",0.055,33
"2208",0.062,72
"2210",0.06,30
"2215",0.075,93
"2216",0.045,45
"2217",0.082,25
"2218",0.075,85
"2219",0.055,52
"2220",0.062,65
"2221",0.054,26
"2222",0.075,63
"2223",0.051,19
"2224",0.041,41
"2225",0.048,48
"2226",0.052,27
"2227",0.062,70
"2229",0.062,70
"2230",0.057,36
"2231",0.054,20
"2232",0.052,27
"2233",0.062,70
"2234",0.048,48
"2236",0.063,69
"2237",0.058,43
"2238",0.058,43
"2239",0.051,17
"2240",0.051,36
"2241",0.077,23
"2244",0.07,68
"2252",0.05,10
"2253",0.04,22
"2254",0.04,42
"2255",0.073,83
"2256",0.04,17
"2257",0.04,32
"2258",0.073,82
"2259",0.04,34
"2260",0.04,29
"2262",0.06,75
"2263",0.047,25
"2272",0.085,90
"2273",0.042,10
"2276",0.045,50
"2277",0.045,15
"2281",0.068,24
"2282",0.099,51
"2285",0.065,33
"2286",0.075,30
"2287",0.099,90
"2290",0.075,30
"2292",0.048,15
"2293",0.048,22
"2297",0.053,22
"2298",0.065,70
"2300",0.09,75
"2305",0.09,75
"2313",0.092,25
"2314",0.079,23
"2315",0.075,31
"2316",0.092,25
"2317",0.073,85
"2318",0.075,85
"2319",0.04,37
"2320",0.06,55
"2321",0.056,50
"2323",0.085,85
"2325",0.051,17
"2326",0.04,37
"2327",0.052,20
"2328",0.045,10
"2329",0.06,55
"2331",0.052,67
"2332",0.054,20
"2340",0.04,5
"2341",0.05,16
"2342",0.068,65
"2343",0.057,22
"2345",0.058,55
"2349",0.075,89
"2351",0.049,28
"2358",0.049,30
"2359",0.049,30
"2360",0.049,30
"2361",0.082,100
"2364",0.052,27
"2365",0.082,100
"2366",0.082,100
"2367",0.042,13
"2368",0.06,23
"2370",0.056,41
"2371",0.068,21
"2372",0.057,20
"2373",0.045,25
"2374",0.051,45
"2380",0.074,83
"2381",0.08,31
"2383",0.071,60
"2385",0.048,38
"2387",0.062,61
"2388",0.045,23
"2389",0.058,72
"2391",0.059,135
"2392",0.047,15
"2394",0.065,82
"2395",0.028,15
"2396",0.065,69
"2397",0.069,69
"2398",0.045,25
"2399",0.077,30
"2400",0.069,69
"2401",0.06,50
"2406",0.067,45
"2409",0.055,40
